Time,X,Y,Z
1534367544.90000200271606445312,4699706.67494704015552997589111,-9321420.62825675681233406066895,221.8813629150390625
1534367545.40022397041320800781,4699706.68110195361077785491943,-9321420.63349635899066925048828,221.8506317138671875
1534367545.90000295639038085938,4699706.67136098910123109817505,-9321420.65548307448625564575195,221.8057403564453125
1534367546.40000200271606445312,4699706.71309032477438449859619,-9321420.67432941123843193054199,221.751068115234375
1534367546.90000200271606445312,4699706.73645963147282600402832,-9321420.646156961098313331604,221.6347808837890625
1534367547.40022993087768554688,4699706.81250877585262060165405,-9321420.68817104026675224304199,221.4446563720703125
1534367547.90000796318054199219,4699706.79463153798133134841919,-9321420.66185714490711688995361,221.481964111328125
1534367548.40000295639038085938,4699706.84659897256642580032349,-9321420.71584290079772472381592,221.35479736328125
1534367548.90000510215759277344,4699706.86107414588332176208496,-9321420.77045958116650581359863,221.251922607421875
1534367549.40024209022521972656,4699706.92506726086139678955078,-9321420.79219497740268707275391,221.126861572265625
1534367549.90000700950622558594,4699706.9452475113794207572937,-9321420.81996480002999305725098,221.0832061767578125
1534367550.40000391006469726562,4699706.98828063625842332839966,-9321420.81718367338180541992188,220.97540283203125
1534367550.90000295639038085938,4699706.9984561139717698097229,-9321420.7938497848808765411377,220.9734344482421875
1534367551.40002393722534179688,4699706.96490829065442085266113,-9321420.78574622794985771179199,221.175750732421875
1534367551.90002393722534179688,4699707.00070522818714380264282,-9321420.81782110594213008880615,221.1334381103515625
1534367552.40000391006469726562,4699707.00363462790846824645996,-9321420.76512405462563037872314,221.2196197509765625
1534367552.90000391006469726562,4699707.06436209008097648620605,-9321420.77860118076205253601074,221.2396087646484375
1534367553.40004491806030273438,4699707.10203384235501289367676,-9321420.76622165367007255554199,221.28277587890625
1534367553.90003800392150878906,4699707.22866666130721569061279,-9321420.7513332236558198928833,221.2792205810546875
1534367554.40000391006469726562,4699707.32145966030657291412354,-9321420.70472646877169609069824,221.438232421875
1534367554.90000391006469726562,4699707.49887025263160467147827,-9321420.61285222321748733520508,221.4076690673828125
1534367555.40000891685485839844,4699707.60366137512028217315674,-9321420.56876149587333202362061,221.4110107421875
1534367555.90006494522094726562,4699707.69873874075710773468018,-9321420.482941931113600730896,221.433197021484375
1534367556.40000391006469726562,4699707.7797178225591778755188,-9321420.44011153466999530792236,221.4062957763671875
1534367556.90000295639038085938,4699707.8851055623963475227356,-9321420.39414043538272380828857,221.3395843505859375
1534367557.40001988410949707031,4699707.95024608913809061050415,-9321420.31939995102584362030029,221.3553009033203125
1534367557.90006899833679199219,4699708.05470326356589794158936,-9321420.31138671934604644775391,221.270050048828125
1534367558.40000391006469726562,4699708.08507142402231693267822,-9321420.29681239463388919830322,221.287933349609375
1534367558.90000391006469726562,4699708.12475187517702579498291,-9321420.29506434127688407897949,221.3094635009765625
1534367559.40000391006469726562,4699708.184471303597092628479,-9321420.3132378663867712020874,221.2499847412109375
1534367559.90008497238159179688,4699708.29549312684684991836548,-9321420.30524262413382530212402,221.12725830078125
1534367560.40000200271606445312,4699708.41276121884584426879883,-9321420.29800997301936149597168,221.027099609375
1534367560.90000391006469726562,4699708.55288593005388975143433,-9321420.27041686698794364929199,220.864288330078125
1534367561.40000295639038085938,4699708.65997176524251699447632,-9321420.19300889223814010620117,220.8485260009765625
1534367561.90010094642639160156,4699708.81322150118649005889893,-9321420.10424397513270378112793,220.7400970458984375
1534367562.40000295639038085938,4699708.89666732959449291229248,-9321420.04672995395958423614502,220.677459716796875
1534367562.90000391006469726562,4699709.04667751863598823547363,-9321419.9809114672243595123291,220.5220794677734375
1534367563.40000295639038085938,4699709.17527962848544120788574,-9321419.86809268966317176818848,220.3639068603515625
1534367563.90011906623840332031,4699709.21545969042927026748657,-9321419.7780678793787956237793,220.3317108154296875
1534367564.40000200271606445312,4699709.36343125905841588973999,-9321419.64306184649467468261719,220.2654876708984375
1534367564.90000391006469726562,4699709.48180402070283889770508,-9321419.50767370872199535369873,220.1381683349609375
1534367565.40000295639038085938,4699709.60944324079900979995728,-9321419.3450027033686637878418,220.06072998046875
1534367565.90013599395751953125,4699709.67529139202088117599487,-9321419.14106869511306285858154,220.059356689453125
1534367566.40000200271606445312,4699709.68196816556155681610107,-9321419.02325824461877346038818,220.1727294921875
1534367566.90000391006469726562,4699709.65913147199898958206177,-9321418.9570711180567741394043,220.207855224609375
1534367567.39999604225158691406,4699709.68248013686388731002808,-9321418.91067501530051231384277,220.2584381103515625
1534367567.90015697479248046875,4699709.68468268215656280517578,-9321418.88934165053069591522217,220.3144989013671875
1534367568.40000295639038085938,4699709.7641200497746467590332,-9321418.89344061538577079772949,220.153533935546875
1534367568.90000295639038085938,4699709.78553067054599523544312,-9321418.80453350394964218139648,220.160308837890625
1534367569.40000295639038085938,4699709.75074593070894479751587,-9321418.76130567863583564758301,220.26385498046875
1534367569.90017104148864746094,4699709.80325780436396598815918,-9321418.74830192141234874725342,220.2475738525390625
1534367570.40000295639038085938,4699709.88806848134845495223999,-9321418.79840929247438907623291,220.0840301513671875
1534367570.90000295639038085938,4699709.90446890518069267272949,-9321418.82910920679569244384766,220.0822906494140625
1534367571.40000391006469726562,4699709.79739209543913602828979,-9321418.75393285974860191345215,220.3771209716796875
1534367571.90019011497497558594,4699709.68166073784232139587402,-9321418.62284510210156440734863,220.756011962890625
1534367572.40000200271606445312,4699709.58890410885214805603027,-9321418.50458584725856781005859,221.0569915771484375
